                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2802,                 3.2478,                 2.5004,                 0.2202,                0.11285,                0.08691,                0.02502,                 2.2719,                 3.5299,                 2.5266,               0.070032,              0.0033298,              0.0033298
                      1,                 2.3186,                 3.3481,                  2.588,                0.12993,                0.08163,                0.05403,                0.01519,                 2.3828,                 4.2504,                 2.6528,               0.039372,              0.0060035,              0.0060035
                      2,                 2.3969,                 3.4828,                 2.7301,                0.09363,                0.03842,                0.02415,                0.00602,                 2.4684,                 4.6132,                 2.8477,              0.0080524,              0.0080172,              0.0080172
                      3,                 2.4352,                 3.5788,                  2.797,                0.10729,                0.12725,                0.04324,                0.01224,                 2.4311,                 4.9394,                  2.787,                0.00703,                0.00703,                0.00703
                      4,                  2.372,                 3.4536,                  2.717,                0.16781,                0.15126,                0.07974,                 0.0222,                 2.2515,                 4.0159,                 2.6248,                0.00703,                0.00703,                0.00703
                      5,                 2.2979,                 3.3551,                 2.6488,                0.17391,                0.19865,                 0.0933,                0.02913,                 2.1536,                 3.9687,                  2.544,                0.00604,                0.00604,                0.00604
                      6,                 2.2203,                 3.2694,                  2.577,                 0.2056,                0.22449,                0.11367,                0.03476,                 2.1165,                 4.2584,                 2.4674,                0.00505,                0.00505,                0.00505
                      7,                 2.1583,                 3.1813,                 2.4979,                0.20108,                 0.2425,                0.12482,                0.03971,                  2.086,                 3.8737,                 2.4563,                0.00406,                0.00406,                0.00406
                      8,                 2.1345,                 3.0922,                 2.4547,                0.21398,                 0.2569,                0.13067,                0.04354,                 2.0363,                 3.6101,                 2.3776,                0.00307,                0.00307,                0.00307
                      9,                  2.069,                 3.0013,                 2.3946,                0.25699,                0.27778,                0.16658,                0.05624,                 1.9828,                 3.8033,                 2.3203,                0.00208,                0.00208,                0.00208
